Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 19:00:00+00:00,4.473,4.473,4.414,4.414,2.36,2025-04-01 19:59:59.999000+00:00,10.52973,2,2.36,10.52973
2025-04-01 20:00:00+00:00,4.418,4.418,4.378,4.381,18.9,2025-04-01 20:59:59.999000+00:00,83.04735,8,10.96,48.16464
2025-04-01 21:00:00+00:00,4.381,4.381,4.381,4.381,0.0,2025-04-01 21:59:59.999000+00:00,0.0,0,0.0,0.0
2025-04-01 22:00:00+00:00,4.381,4.381,4.381,4.381,0.0,2025-04-01 22:59:59.999000+00:00,0.0,0,0.0,0.0
2025-04-01 23:00:00+00:00,4.4,4.4,4.355,4.355,7.29,2025-04-01 23:59:59.999000+00:00,31.78471,4,0.62,2.71436
2025-04-02 00:00:00+00:00,4.365,4.477,4.339,4.339,237.76,2025-04-02 00:59:59.999000+00:00,1039.96667,97,139.6,613.29597
2025-04-02 01:00:00+00:00,4.411,4.411,4.329,4.332,10.95,2025-04-02 01:59:59.999000+00:00,47.52845,13,4.94,21.51116
2025-04-02 02:00:00+00:00,4.346,4.388,4.287,4.299,330.2,2025-04-02 02:59:59.999000+00:00,1430.7296,68,176.6,770.51193
2025-04-02 03:00:00+00:00,4.326,4.362,4.318,4.318,20.08,2025-04-02 03:59:59.999000+00:00,86.86506,10,0.0,0.0
2025-04-02 04:00:00+00:00,4.362,4.387,4.325,4.325,110.24,2025-04-02 04:59:59.999000+00:00,477.33435,5,13.86,60.49007
2025-04-02 05:00:00+00:00,4.321,4.326,4.3,4.306,10.26,2025-04-02 05:59:59.999000+00:00,44.34483,7,1.68,7.24776
2025-04-02 06:00:00+00:00,4.294,4.296,4.293,4.296,28.1,2025-04-02 06:59:59.999000+00:00,120.65162,4,0.64,2.74944
2025-04-02 07:00:00+00:00,4.296,4.296,4.296,4.296,0.0,2025-04-02 07:59:59.999000+00:00,0.0,0,0.0,0.0
2025-04-02 08:00:00+00:00,4.296,4.296,4.296,4.296,0.0,2025-04-02 08:59:59.999000+00:00,0.0,0,0.0,0.0
2025-04-02 09:00:00+00:00,4.326,4.349,4.326,4.331,6.19,2025-04-02 09:59:59.999000+00:00,26.82804,5,0.0,0.0
2025-04-02 10:00:00+00:00,4.364,4.377,4.364,4.377,13.03,2025-04-02 10:59:59.999000+00:00,57.0172,4,11.36,49.72272
2025-04-02 11:00:00+00:00,4.351,4.351,4.351,4.351,0.24,2025-04-02 11:59:59.999000+00:00,1.04424,1,0.0,0.0
2025-04-02 12:00:00+00:00,4.343,4.344,4.343,4.344,56.3,2025-04-02 12:59:59.999000+00:00,244.51659,2,56.3,244.51659
2025-04-02 13:00:00+00:00,4.341,4.415,4.341,4.415,47.8,2025-04-02 13:59:59.999000+00:00,210.36206,9,39.24,173.04244
2025-04-02 14:00:00+00:00,4.392,4.418,4.392,4.418,13.3,2025-04-02 14:59:59.999000+00:00,58.44089,5,0.0,0.0
2025-04-02 15:00:00+00:00,4.438,4.527,4.438,4.527,119.36,2025-04-02 15:59:59.999000+00:00,533.60157,26,98.32,439.6086
2025-04-02 16:00:00+00:00,4.544,4.563,4.491,4.519,41.96,2025-04-02 16:59:59.999000+00:00,190.49636,16,35.19,160.01229
2025-04-02 17:00:00+00:00,4.505,4.505,4.437,4.437,23.92,2025-04-02 17:59:59.999000+00:00,107.01497,17,15.48,69.47847
2025-04-02 18:00:00+00:00,4.451,4.483,4.437,4.483,22.05,2025-04-02 18:59:59.999000+00:00,97.998,7,11.54,51.20298
2025-04-02 19:00:00+00:00,4.491,4.491,4.491,4.491,1.11,2025-04-02 19:59:59.999000+00:00,4.98501,1,1.11,4.98501
2025-04-02 20:00:00+00:00,4.516,4.589,4.414,4.426,327.09,2025-04-02 20:59:59.999000+00:00,1480.90612,79,92.17,420.1467
2025-04-02 21:00:00+00:00,4.414,4.414,4.372,4.38,64.57,2025-04-02 21:59:59.999000+00:00,283.2373,53,10.47,45.93376
2025-04-02 22:00:00+00:00,4.377,4.377,4.174,4.183,284.76,2025-04-02 22:59:59.999000+00:00,1212.20746,195,28.48,122.22602
2025-04-02 23:00:00+00:00,4.174,4.214,4.141,4.214,44.16,2025-04-02 23:59:59.999000+00:00,183.82354,47,7.36,30.69852
2025-04-03 00:00:00+00:00,4.232,4.337,4.232,4.336,151.24,2025-04-03 00:59:59.999000+00:00,647.57248,91,134.28,575.50271
2025-04-03 01:00:00+00:00,4.339,4.401,4.339,4.367,96.61,2025-04-03 01:59:59.999000+00:00,422.13781,12,92.62,404.75947
2025-04-03 02:00:00+00:00,4.411,4.418,4.371,4.418,48.83,2025-04-03 02:59:59.999000+00:00,215.52599,7,46.4,204.86864
2025-04-03 03:00:00+00:00,4.372,4.449,4.372,4.374,17.16,2025-04-03 03:59:59.999000+00:00,75.93637,9,10.58,47.07042
2025-04-03 04:00:00+00:00,4.418,4.478,4.394,4.45,16.12,2025-04-03 04:59:59.999000+00:00,71.68374,12,8.55,38.23514
2025-04-03 05:00:00+00:00,4.471,5.444,4.417,4.505,3888.27,2025-04-03 05:59:59.999000+00:00,18490.51042,463,2914.14,13921.49808
2025-04-03 06:00:00+00:00,4.451,4.533,4.427,4.533,25.83,2025-04-03 06:59:59.999000+00:00,115.14003,29,8.38,37.75815
2025-04-03 07:00:00+00:00,4.535,4.536,4.378,4.378,131.88,2025-04-03 07:59:59.999000+00:00,582.68471,145,21.39,95.88282
2025-04-03 08:00:00+00:00,4.442,4.442,4.442,4.442,2.25,2025-04-03 08:59:59.999000+00:00,9.9945,1,2.25,9.9945
2025-04-03 09:00:00+00:00,4.384,4.384,4.365,4.378,24.73,2025-04-03 09:59:59.999000+00:00,108.00104,20,1.15,5.03782
2025-04-03 10:00:00+00:00,4.363,4.363,4.303,4.316,90.14,2025-04-03 10:59:59.999000+00:00,389.87124,112,5.8,25.10694
2025-04-03 11:00:00+00:00,4.294,4.366,4.287,4.366,12.89,2025-04-03 11:59:59.999000+00:00,55.99382,7,9.61,41.92546
2025-04-03 12:00:00+00:00,4.305,4.306,4.247,4.247,131.96,2025-04-03 12:59:59.999000+00:00,561.63859,90,4.07,17.34634
2025-04-03 13:00:00+00:00,4.306,4.329,4.306,4.329,51.59,2025-04-03 13:59:59.999000+00:00,223.31627,3,50.67,219.35043
2025-04-03 14:00:00+00:00,4.317,4.317,4.276,4.276,1.71,2025-04-03 14:59:59.999000+00:00,7.37054,3,1.71,7.37054
2025-04-03 15:00:00+00:00,4.314,4.375,4.314,4.375,137.33,2025-04-03 15:59:59.999000+00:00,598.56786,9,133.45,581.73669
2025-04-03 16:00:00+00:00,4.345,4.363,4.345,4.363,29.62,2025-04-03 16:59:59.999000+00:00,128.7146,3,28.72,124.7884
2025-04-03 17:00:00+00:00,4.366,4.449,4.366,4.449,68.61,2025-04-03 17:59:59.999000+00:00,302.80057,22,60.4,266.60672
2025-04-03 18:00:00+00:00,4.466,4.525,4.457,4.518,135.11,2025-04-03 18:59:59.999000+00:00,605.60317,23,106.48,477.22985
2025-04-03 19:00:00+00:00,4.525,4.541,4.525,4.541,55.92,2025-04-03 19:59:59.999000+00:00,253.90975,4,54.32,246.66712
2025-04-03 20:00:00+00:00,4.542,4.605,4.536,4.604,1104.2,2025-04-03 20:59:59.999000+00:00,5017.72027,43,697.05,3167.88051
2025-04-03 21:00:00+00:00,4.601,4.667,4.594,4.638,188.42,2025-04-03 21:59:59.999000+00:00,870.75363,30,157.49,728.05091
2025-04-03 22:00:00+00:00,4.662,4.708,4.597,4.677,389.45,2025-04-03 22:59:59.999000+00:00,1807.11521,54,221.57,1032.71101
2025-04-03 23:00:00+00:00,4.678,4.678,4.589,4.649,172.28,2025-04-03 23:59:59.999000+00:00,795.8025,16,13.91,64.08684
2025-04-04 00:00:00+00:00,4.66,4.66,4.595,4.641,80.4,2025-04-04 00:59:59.999000+00:00,372.90731,26,67.2,311.8752
2025-04-04 01:00:00+00:00,4.63,4.681,4.626,4.653,604.19,2025-04-04 01:59:59.999000+00:00,2798.03985,21,226.8,1050.56387
2025-04-04 02:00:00+00:00,4.684,4.794,4.683,4.762,257.08,2025-04-04 02:59:59.999000+00:00,1222.70687,47,212.32,1009.96571
2025-04-04 03:00:00+00:00,4.768,4.821,4.753,4.805,86.52,2025-04-04 03:59:59.999000+00:00,415.56541,19,80.54,386.976
2025-04-04 04:00:00+00:00,4.822,4.831,4.737,4.779,33.95,2025-04-04 04:59:59.999000+00:00,163.07269,16,25.13,121.05209
2025-04-04 05:00:00+00:00,4.795,4.858,4.795,4.833,126.39,2025-04-04 05:59:59.999000+00:00,612.34291,22,79.41,385.43792
2025-04-04 06:00:00+00:00,4.864,4.864,4.819,4.819,16.59,2025-04-04 06:59:59.999000+00:00,80.08311,21,2.46,11.96544
2025-04-04 07:00:00+00:00,4.819,4.819,4.733,4.784,27.8,2025-04-04 07:59:59.999000+00:00,133.87533,3,0.27,1.29168
2025-04-04 08:00:00+00:00,4.803,4.819,4.803,4.819,29.17,2025-04-04 08:59:59.999000+00:00,140.56157,3,29.17,140.56157
2025-04-04 09:00:00+00:00,4.781,4.781,4.78,4.78,78.82,2025-04-04 09:59:59.999000+00:00,376.76594,2,0.0,0.0
2025-04-04 10:00:00+00:00,4.789,4.789,4.694,4.694,71.98,2025-04-04 10:59:59.999000+00:00,340.4257,74,7.15,33.94215
2025-04-04 11:00:00+00:00,4.71,4.764,4.642,4.721,651.24,2025-04-04 11:59:59.999000+00:00,3058.16333,58,231.21,1089.45713
2025-04-04 12:00:00+00:00,4.728,4.809,4.728,4.788,175.21,2025-04-04 12:59:59.999000+00:00,836.79075,13,161.94,773.90458
2025-04-04 13:00:00+00:00,4.773,5.016,4.773,4.941,501.11,2025-04-04 13:59:59.999000+00:00,2460.93077,109,369.78,1818.21709
2025-04-04 14:00:00+00:00,4.944,4.951,4.878,4.951,25.26,2025-04-04 14:59:59.999000+00:00,124.44569,16,4.0,19.75
