Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-01-09 00:00:00+00:00,6.758,6.835,6.463,6.556,7067.76,2025-01-09 23:59:59.999000+00:00,47290.90155,488,1325.97,8815.20479
2025-01-10 00:00:00+00:00,6.613,6.808,6.501,6.755,8120.42,2025-01-10 23:59:59.999000+00:00,54470.28423,417,5680.85,38283.54477
2025-01-11 00:00:00+00:00,6.724,6.868,6.594,6.744,1957.08,2025-01-11 23:59:59.999000+00:00,13186.78714,148,1170.54,7938.07463
2025-01-12 00:00:00+00:00,6.733,6.813,6.551,6.606,462.48,2025-01-12 23:59:59.999000+00:00,3087.24641,132,213.23,1426.4829
2025-01-13 00:00:00+00:00,6.634,6.809,6.023,6.405,15771.33,2025-01-13 23:59:59.999000+00:00,101062.52821,732,9846.21,64137.72253
2025-01-14 00:00:00+00:00,6.383,6.676,6.382,6.647,2929.23,2025-01-14 23:59:59.999000+00:00,18925.49012,195,2351.55,15175.40109
2025-01-15 00:00:00+00:00,6.649,7.191,6.563,7.184,6434.37,2025-01-15 23:59:59.999000+00:00,44005.05112,550,3942.74,27185.18498
2025-01-16 00:00:00+00:00,7.187,7.379,6.855,7.159,12807.68,2025-01-16 23:59:59.999000+00:00,91978.13084,794,6857.78,49469.60349
2025-01-17 00:00:00+00:00,7.159,7.593,7.159,7.491,18605.36,2025-01-17 23:59:59.999000+00:00,137998.89156,618,8905.87,66459.0344
2025-01-18 00:00:00+00:00,7.515,7.586,6.85,6.957,10042.02,2025-01-18 23:59:59.999000+00:00,71357.71687,648,3693.14,26159.40147
2025-01-19 00:00:00+00:00,6.98,7.227,6.129,6.254,18816.05,2025-01-19 23:59:59.999000+00:00,124714.71849,1226,6678.83,44286.1529
2025-01-20 00:00:00+00:00,6.175,7.095,6.068,6.364,16274.47,2025-01-20 23:59:59.999000+00:00,104758.40812,1135,8138.65,53114.94906
2025-01-21 00:00:00+00:00,6.353,6.835,6.162,6.616,3929.76,2025-01-21 23:59:59.999000+00:00,25469.89061,450,2372.02,15366.52013
2025-01-22 00:00:00+00:00,6.644,6.699,6.417,6.417,8783.22,2025-01-22 23:59:59.999000+00:00,57493.42824,320,1910.99,12558.81868
2025-01-23 00:00:00+00:00,6.449,6.497,6.203,6.365,6002.57,2025-01-23 23:59:59.999000+00:00,38081.88199,424,3764.31,23910.78012
2025-01-24 00:00:00+00:00,6.355,6.527,6.202,6.31,5183.85,2025-01-24 23:59:59.999000+00:00,33109.67178,248,3470.62,22214.43959
2025-01-25 00:00:00+00:00,6.306,6.391,6.254,6.324,1843.36,2025-01-25 23:59:59.999000+00:00,11617.5601,104,1464.32,9228.25463
2025-01-26 00:00:00+00:00,6.313,6.463,6.168,6.177,25809.6,2025-01-26 23:59:59.999000+00:00,164442.43997,311,2233.5,14196.18026
2025-01-27 00:00:00+00:00,6.168,6.196,5.507,5.928,15732.89,2025-01-27 23:59:59.999000+00:00,92399.23772,792,6812.43,40166.37919
2025-01-28 00:00:00+00:00,5.974,6.02,5.604,5.625,13527.73,2025-01-28 23:59:59.999000+00:00,77405.68222,252,11816.58,67514.70161
2025-01-29 00:00:00+00:00,5.675,5.878,5.553,5.765,6291.92,2025-01-29 23:59:59.999000+00:00,36026.1915,371,1701.84,9748.51138
2025-01-30 00:00:00+00:00,5.739,6.255,5.726,6.133,5053.06,2025-01-30 23:59:59.999000+00:00,30662.04954,289,2222.59,13518.36851
2025-01-31 00:00:00+00:00,6.139,6.489,6.034,6.303,7900.46,2025-01-31 23:59:59.999000+00:00,49901.60105,569,4304.74,27308.35928
2025-02-01 00:00:00+00:00,6.333,6.476,5.864,5.925,3771.42,2025-02-01 23:59:59.999000+00:00,23380.40161,346,2189.64,13665.17688
