Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 19:00:00+00:00,4.189,4.189,4.148,4.148,12.29,2025-04-01 19:59:59.999000+00:00,51.06302,5,6.22,25.88456
2025-04-01 20:00:00+00:00,4.159,4.159,4.154,4.154,20.64,2025-04-01 20:59:59.999000+00:00,85.81156,4,14.6,60.7214
2025-04-01 21:00:00+00:00,4.164,4.174,4.164,4.174,9.14,2025-04-01 21:59:59.999000+00:00,38.10199,4,0.0,0.0
2025-04-01 22:00:00+00:00,4.173,4.184,4.173,4.184,47.71,2025-04-01 22:59:59.999000+00:00,199.1837,4,39.54,165.00042
2025-04-01 23:00:00+00:00,4.166,4.166,4.166,4.166,5.03,2025-04-01 23:59:59.999000+00:00,20.95498,1,5.03,20.95498
2025-04-02 00:00:00+00:00,4.156,4.156,4.119,4.126,69.32,2025-04-02 00:59:59.999000+00:00,287.08823,11,21.27,88.08408
2025-04-02 01:00:00+00:00,4.116,4.133,4.106,4.116,225.74,2025-04-02 01:59:59.999000+00:00,931.54392,19,193.68,799.61679
2025-04-02 02:00:00+00:00,4.117,4.163,4.07,4.089,237.67,2025-04-02 02:59:59.999000+00:00,975.4608,33,141.79,583.10593
2025-04-02 03:00:00+00:00,4.105,4.113,4.098,4.106,54.75,2025-04-02 03:59:59.999000+00:00,224.85231,9,49.27,202.36569
2025-04-02 04:00:00+00:00,4.106,4.114,4.089,4.089,18.65,2025-04-02 04:59:59.999000+00:00,76.51486,4,5.03,20.60288
2025-04-02 05:00:00+00:00,4.086,4.086,4.038,4.055,87.87,2025-04-02 05:59:59.999000+00:00,356.21425,14,22.79,92.64473
2025-04-02 06:00:00+00:00,4.033,4.046,4.023,4.023,83.12,2025-04-02 06:59:59.999000+00:00,335.43959,12,6.31,25.51746
2025-04-02 07:00:00+00:00,4.026,4.065,4.026,4.065,57.14,2025-04-02 07:59:59.999000+00:00,231.86366,5,52.36,212.48554
2025-04-02 08:00:00+00:00,4.065,4.103,4.065,4.103,22.9,2025-04-02 08:59:59.999000+00:00,93.42269,7,4.2,17.23068
2025-04-02 09:00:00+00:00,4.094,4.132,4.094,4.106,87.27,2025-04-02 09:59:59.999000+00:00,359.6132,15,66.62,274.74221
2025-04-02 10:00:00+00:00,4.096,4.096,4.085,4.085,7.57,2025-04-02 10:59:59.999000+00:00,30.97878,2,7.57,30.97878
2025-04-02 11:00:00+00:00,4.041,4.076,4.041,4.076,11.94,2025-04-02 11:59:59.999000+00:00,48.43609,2,5.33,21.72508
2025-04-02 12:00:00+00:00,4.066,4.075,4.056,4.074,24.8,2025-04-02 12:59:59.999000+00:00,100.75853,5,13.75,55.8288
2025-04-02 13:00:00+00:00,4.055,4.125,4.055,4.124,36.71,2025-04-02 13:59:59.999000+00:00,150.3515,11,5.03,20.39665
2025-04-02 14:00:00+00:00,4.107,4.115,4.096,4.114,14.01,2025-04-02 14:59:59.999000+00:00,57.51366,4,10.06,41.26109
2025-04-02 15:00:00+00:00,4.125,4.22,4.125,4.21,165.82,2025-04-02 15:59:59.999000+00:00,692.6446,30,114.58,479.18406
2025-04-02 16:00:00+00:00,4.214,4.214,4.173,4.173,13.54,2025-04-02 16:59:59.999000+00:00,56.82508,5,5.03,21.10588
2025-04-02 17:00:00+00:00,4.175,4.175,4.126,4.126,38.28,2025-04-02 17:59:59.999000+00:00,158.84661,7,33.56,139.37189
2025-04-02 18:00:00+00:00,4.158,4.164,4.144,4.164,101.43,2025-04-02 18:59:59.999000+00:00,421.47633,7,18.54,77.08932
2025-04-02 19:00:00+00:00,4.207,4.207,4.207,4.207,1.2,2025-04-02 19:59:59.999000+00:00,5.0484,1,1.2,5.0484
2025-04-02 20:00:00+00:00,4.119,4.213,4.085,4.114,658.87,2025-04-02 20:59:59.999000+00:00,2717.37779,54,375.24,1550.99748
2025-04-02 21:00:00+00:00,4.125,4.125,4.081,4.085,30.78,2025-04-02 21:59:59.999000+00:00,126.18416,9,17.16,70.30126
2025-04-02 22:00:00+00:00,4.076,4.076,3.933,3.96,1252.79,2025-04-02 22:59:59.999000+00:00,4982.64407,69,167.91,675.38624
2025-04-02 23:00:00+00:00,3.956,3.986,3.917,3.964,486.9,2025-04-02 23:59:59.999000+00:00,1929.46404,16,51.8,205.43736
2025-04-03 00:00:00+00:00,3.961,4.036,3.961,4.034,129.17,2025-04-03 00:59:59.999000+00:00,518.27827,18,82.73,332.61086
2025-04-03 01:00:00+00:00,4.034,4.068,4.0,4.064,72.76,2025-04-03 01:59:59.999000+00:00,295.18201,13,47.45,192.88865
2025-04-03 02:00:00+00:00,4.064,4.104,4.064,4.094,129.87,2025-04-03 02:59:59.999000+00:00,528.53694,12,113.21,460.54291
2025-04-03 03:00:00+00:00,4.066,4.066,4.045,4.046,83.03,2025-04-03 03:59:59.999000+00:00,336.52493,7,39.77,161.53823
2025-04-03 04:00:00+00:00,4.036,4.036,4.036,4.036,0.98,2025-04-03 04:59:59.999000+00:00,3.95528,1,0.98,3.95528
2025-04-03 05:00:00+00:00,4.036,4.036,4.036,4.036,0.0,2025-04-03 05:59:59.999000+00:00,0.0,0,0.0,0.0
2025-04-03 06:00:00+00:00,4.026,4.055,3.988,3.988,54.22,2025-04-03 06:59:59.999000+00:00,217.31872,9,35.42,142.2414
2025-04-03 07:00:00+00:00,3.987,3.987,3.977,3.977,28.72,2025-04-03 07:59:59.999000+00:00,114.23754,3,0.0,0.0
2025-04-03 08:00:00+00:00,4.015,4.035,4.014,4.035,11.29,2025-04-03 08:59:59.999000+00:00,45.45325,3,6.2,25.017
