Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-01-09 00:00:00+00:00,0.28523,0.28523,0.263,0.26894,1591561.0,2025-01-09 23:59:59.999000+00:00,429791.01042,1288,289797.0,78057.08212
2025-01-10 00:00:00+00:00,0.26929,0.28518,0.2672,0.28194,1221747.0,2025-01-10 23:59:59.999000+00:00,336115.60299,1330,569003.0,156560.35796
2025-01-11 00:00:00+00:00,0.28319,0.29593,0.27567,0.29164,1048839.0,2025-01-11 23:59:59.999000+00:00,301459.1266,1015,954612.0,274776.32809
2025-01-12 00:00:00+00:00,0.29164,0.29164,0.27373,0.27827,532672.0,2025-01-12 23:59:59.999000+00:00,150384.86361,699,200565.0,56642.65812
2025-01-13 00:00:00+00:00,0.27787,0.28865,0.25659,0.27466,1370373.0,2025-01-13 23:59:59.999000+00:00,366769.84503,1714,350568.0,94814.55778
2025-01-14 00:00:00+00:00,0.27532,0.29234,0.2728,0.28857,711405.0,2025-01-14 23:59:59.999000+00:00,203399.92676,754,345838.0,99169.96073
2025-01-15 00:00:00+00:00,0.28714,0.3279,0.28606,0.32234,2660760.0,2025-01-15 23:59:59.999000+00:00,817825.74253,2486,1951552.0,598016.83487
2025-01-16 00:00:00+00:00,0.32215,0.38671,0.30838,0.36365,7001194.0,2025-01-16 23:59:59.999000+00:00,2535247.68308,5554,3074447.0,1101276.01054
2025-01-17 00:00:00+00:00,0.36384,0.401,0.36146,0.37565,4602527.0,2025-01-17 23:59:59.999000+00:00,1750728.36048,3344,1838291.0,705045.88073
2025-01-18 00:00:00+00:00,0.37424,0.38432,0.3407,0.35534,2277742.0,2025-01-18 23:59:59.999000+00:00,811485.16289,2380,789237.0,281162.89238
2025-01-19 00:00:00+00:00,0.35411,0.37089,0.31831,0.326,3772034.0,2025-01-19 23:59:59.999000+00:00,1308223.11756,3853,1380374.0,480732.34236
2025-01-20 00:00:00+00:00,0.32548,0.37383,0.31968,0.34031,1719104.0,2025-01-20 23:59:59.999000+00:00,601904.99346,2821,754939.0,266005.86653
2025-01-21 00:00:00+00:00,0.34062,0.34841,0.32637,0.33767,1611871.0,2025-01-21 23:59:59.999000+00:00,543064.30406,1787,923752.0,311133.95222
2025-01-22 00:00:00+00:00,0.33667,0.3374,0.32101,0.32451,1890512.0,2025-01-22 23:59:59.999000+00:00,620115.11153,1144,827822.0,271656.04071
2025-01-23 00:00:00+00:00,0.32446,0.33493,0.31278,0.32692,3112425.0,2025-01-23 23:59:59.999000+00:00,1002308.48109,1739,1680275.0,542314.19942
2025-01-24 00:00:00+00:00,0.32559,0.3503,0.31486,0.32636,1579886.0,2025-01-24 23:59:59.999000+00:00,523189.36014,1316,808474.0,268261.58604
2025-01-25 00:00:00+00:00,0.32744,0.33859,0.32744,0.33219,1195722.0,2025-01-25 23:59:59.999000+00:00,399492.19402,761,560511.0,187271.09532
2025-01-26 00:00:00+00:00,0.33235,0.355,0.32306,0.32306,2928561.0,2025-01-26 23:59:59.999000+00:00,993578.55156,1505,1684642.0,575472.09786
2025-01-27 00:00:00+00:00,0.32333,0.32752,0.29,0.31398,5066213.0,2025-01-27 23:59:59.999000+00:00,1562407.34155,2469,2456698.0,760409.04146
2025-01-28 00:00:00+00:00,0.31486,0.32267,0.2957,0.29909,1129777.0,2025-01-28 23:59:59.999000+00:00,352108.91678,1473,645378.0,203657.30313
2025-01-29 00:00:00+00:00,0.29951,0.31768,0.29445,0.30924,795204.0,2025-01-29 23:59:59.999000+00:00,243390.13715,1120,395274.0,121364.32761
