Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 19:00:00+00:00,14.14,14.19,14.14,14.19,41.11,2025-04-01 19:59:59.999000+00:00,582.8296,5,35.11,497.9896
2025-04-01 20:00:00+00:00,14.11,14.11,14.07,14.07,8.03,2025-04-01 20:59:59.999000+00:00,113.1779,6,4.56,64.2856
2025-04-01 21:00:00+00:00,14.21,14.24,14.2,14.2,24.06,2025-04-01 21:59:59.999000+00:00,342.2539,6,23.19,329.8921
2025-04-01 22:00:00+00:00,14.17,14.21,14.16,14.16,1.21,2025-04-01 22:59:59.999000+00:00,17.1447,4,0.91,12.8967
2025-04-01 23:00:00+00:00,14.11,14.11,14.04,14.06,14.24,2025-04-01 23:59:59.999000+00:00,200.2837,11,3.85,54.1721
2025-04-02 00:00:00+00:00,14.04,14.05,13.88,13.89,166.84,2025-04-02 00:59:59.999000+00:00,2331.0812,87,45.54,636.2584
2025-04-02 01:00:00+00:00,13.87,13.87,13.77,13.83,35.1,2025-04-02 01:59:59.999000+00:00,485.3697,26,7.41,102.5336
2025-04-02 02:00:00+00:00,13.77,13.77,13.66,13.76,136.75,2025-04-02 02:59:59.999000+00:00,1878.1369,33,10.84,149.079
2025-04-02 03:00:00+00:00,13.81,13.81,13.75,13.75,6.85,2025-04-02 03:59:59.999000+00:00,94.302,5,6.04,83.128
2025-04-02 04:00:00+00:00,13.72,13.76,13.65,13.68,8.2,2025-04-02 04:59:59.999000+00:00,112.249,10,5.67,77.7089
2025-04-02 05:00:00+00:00,13.64,13.64,13.45,13.45,57.8,2025-04-02 05:59:59.999000+00:00,782.3994,44,19.96,270.1219
2025-04-02 06:00:00+00:00,13.44,13.48,13.42,13.44,20.25,2025-04-02 06:59:59.999000+00:00,272.0033,14,7.18,96.5567
2025-04-02 07:00:00+00:00,13.44,13.83,13.36,13.43,966.33,2025-04-02 07:59:59.999000+00:00,13061.2345,107,900.36,12167.3505
2025-04-02 08:00:00+00:00,13.35,13.53,13.34,13.47,30.56,2025-04-02 08:59:59.999000+00:00,409.6953,15,17.72,237.8923
2025-04-02 09:00:00+00:00,13.55,13.68,13.55,13.61,62.75,2025-04-02 09:59:59.999000+00:00,856.1131,24,24.13,329.4556
2025-04-02 10:00:00+00:00,13.62,13.62,13.57,13.57,0.43,2025-04-02 10:59:59.999000+00:00,5.8526,2,0.43,5.8526
2025-04-02 11:00:00+00:00,13.55,13.56,13.48,13.5,8.24,2025-04-02 11:59:59.999000+00:00,111.273,10,4.93,66.588
2025-04-02 12:00:00+00:00,13.5,13.57,13.44,13.57,18.22,2025-04-02 12:59:59.999000+00:00,245.6011,10,7.95,107.0051
2025-04-02 13:00:00+00:00,13.43,13.68,13.38,13.56,18.12,2025-04-02 13:59:59.999000+00:00,245.7078,29,9.44,128.397
2025-04-02 14:00:00+00:00,13.54,13.61,13.53,13.6,24.32,2025-04-02 14:59:59.999000+00:00,329.9711,6,24.32,329.9711
2025-04-02 15:00:00+00:00,13.68,14.16,13.68,14.11,145.88,2025-04-02 15:59:59.999000+00:00,2035.6277,90,105.83,1477.119
