Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-07 16:58:00+00:00,103.77,103.77,103.7,103.7,5.499,2025-04-07 16:58:59.999000+00:00,570.402,4,0.0,0.0
2025-04-07 16:59:00+00:00,103.7,103.7,103.7,103.7,0.0,2025-04-07 16:59:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:00:00+00:00,104.85,104.85,104.84,104.84,3.958,2025-04-07 17:00:59.999000+00:00,414.95824,2,0.152,15.9372
2025-04-07 17:01:00+00:00,104.67,104.67,104.67,104.67,8.0,2025-04-07 17:01:59.999000+00:00,837.36,1,0.0,0.0
2025-04-07 17:02:00+00:00,104.82,104.82,104.82,104.82,0.381,2025-04-07 17:02:59.999000+00:00,39.93642,1,0.381,39.93642
2025-04-07 17:03:00+00:00,104.82,104.82,104.82,104.82,0.0,2025-04-07 17:03:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:04:00+00:00,104.82,104.82,104.82,104.82,0.0,2025-04-07 17:04:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:05:00+00:00,104.82,104.82,104.82,104.82,0.0,2025-04-07 17:05:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:06:00+00:00,104.38,104.38,104.38,104.38,15.669,2025-04-07 17:06:59.999000+00:00,1635.53022,1,15.669,1635.53022
2025-04-07 17:07:00+00:00,104.38,104.38,104.38,104.38,0.0,2025-04-07 17:07:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:08:00+00:00,104.61,104.61,104.61,104.61,0.095,2025-04-07 17:08:59.999000+00:00,9.93795,1,0.095,9.93795
2025-04-07 17:09:00+00:00,104.61,104.61,104.61,104.61,0.0,2025-04-07 17:09:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:10:00+00:00,104.61,104.61,104.61,104.61,0.0,2025-04-07 17:10:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:11:00+00:00,104.61,104.61,104.61,104.61,0.0,2025-04-07 17:11:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:12:00+00:00,104.61,104.61,104.61,104.61,0.0,2025-04-07 17:12:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:13:00+00:00,104.61,104.61,104.61,104.61,0.0,2025-04-07 17:13:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:14:00+00:00,105.69,105.69,105.69,105.69,0.289,2025-04-07 17:14:59.999000+00:00,30.54441,1,0.289,30.54441
2025-04-07 17:15:00+00:00,105.69,105.69,105.69,105.69,0.0,2025-04-07 17:15:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:16:00+00:00,105.87,105.87,105.87,105.87,0.152,2025-04-07 17:16:59.999000+00:00,16.09224,1,0.152,16.09224
2025-04-07 17:17:00+00:00,105.87,105.87,105.87,105.87,0.0,2025-04-07 17:17:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:18:00+00:00,105.87,105.87,105.87,105.87,0.0,2025-04-07 17:18:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:19:00+00:00,105.87,105.87,105.87,105.87,17.0,2025-04-07 17:19:59.999000+00:00,1799.79,1,17.0,1799.79
2025-04-07 17:20:00+00:00,105.87,105.87,105.87,105.87,0.0,2025-04-07 17:20:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:21:00+00:00,105.87,105.87,105.87,105.87,0.0,2025-04-07 17:21:59.999000+00:00,0.0,0,0.0,0.0
2025-04-07 17:22:00+00:00,105.87,105.87,105.87,105.87,0.0,2025-04-07 17:22:59.999000+00:00,0.0,0,0.0,0.0
