Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-01-10 00:00:00+00:00,0.3933,0.4251,0.3878,0.4147,322267.0,2025-01-10 23:59:59.999000+00:00,130802.4383,1789,223510.0,90938.8671
2025-01-11 00:00:00+00:00,0.4137,0.458,0.404,0.4444,696892.0,2025-01-11 23:59:59.999000+00:00,304201.2248,1896,504149.0,221982.0977
2025-01-12 00:00:00+00:00,0.4442,0.4442,0.4208,0.4227,368531.0,2025-01-12 23:59:59.999000+00:00,157690.3892,755,77704.0,33593.2428
2025-01-13 00:00:00+00:00,0.4232,0.4387,0.3941,0.4195,521863.0,2025-01-13 23:59:59.999000+00:00,217654.3338,2022,232706.0,96714.0888
2025-01-14 00:00:00+00:00,0.4206,0.4364,0.4072,0.4306,497087.0,2025-01-14 23:59:59.999000+00:00,212181.9031,1467,339737.0,145706.3763
2025-01-15 00:00:00+00:00,0.4294,0.495,0.4258,0.4872,1139785.0,2025-01-15 23:59:59.999000+00:00,530422.5418,3545,590217.0,273031.2336
2025-01-16 00:00:00+00:00,0.4893,0.5144,0.4637,0.4821,1358806.0,2025-01-16 23:59:59.999000+00:00,670749.0729,3478,739969.0,366537.1542
2025-01-17 00:00:00+00:00,0.4833,0.499,0.4685,0.4878,714846.0,2025-01-17 23:59:59.999000+00:00,346586.1404,1897,205305.0,99803.4988
2025-01-18 00:00:00+00:00,0.4878,0.4919,0.4518,0.4913,578931.0,2025-01-18 23:59:59.999000+00:00,274354.3494,2288,246853.0,117520.3062
2025-01-19 00:00:00+00:00,0.4895,0.4948,0.425,0.4325,984518.0,2025-01-19 23:59:59.999000+00:00,460735.8894,3232,402216.0,192686.1348
2025-01-20 00:00:00+00:00,0.4327,0.4784,0.426,0.4446,530201.0,2025-01-20 23:59:59.999000+00:00,241348.5024,3486,273680.0,124979.7723
2025-01-21 00:00:00+00:00,0.4463,0.4538,0.4281,0.4423,290533.0,2025-01-21 23:59:59.999000+00:00,128290.8503,1739,145754.0,64557.8293
2025-01-22 00:00:00+00:00,0.4423,0.4449,0.4266,0.4272,374465.0,2025-01-22 23:59:59.999000+00:00,162618.8423,1226,172366.0,75098.7467
2025-01-23 00:00:00+00:00,0.4289,0.4364,0.4129,0.4303,625509.0,2025-01-23 23:59:59.999000+00:00,267338.8548,1502,306414.0,131490.4878
2025-01-24 00:00:00+00:00,0.4317,0.4483,0.4201,0.4304,891409.0,2025-01-24 23:59:59.999000+00:00,387003.0466,1268,445114.0,194209.8493
2025-01-25 00:00:00+00:00,0.4298,0.4365,0.409,0.4168,685271.0,2025-01-25 23:59:59.999000+00:00,289209.2411,893,369536.0,155590.2981
2025-01-26 00:00:00+00:00,0.417,0.4259,0.4062,0.4067,302641.0,2025-01-26 23:59:59.999000+00:00,126855.7822,946,159631.0,66994.1627
