Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 17:00:00+00:00,2.151,2.1516,2.1381,2.1381,16382.0,2025-04-01 17:59:59.999000+00:00,35219.0427,22,15332.0,32972.4294
2025-04-01 18:00:00+00:00,2.1381,2.1402,2.1224,2.1348,13072.0,2025-04-01 18:59:59.999000+00:00,27832.3591,111,2718.0,5787.5395
2025-04-01 19:00:00+00:00,2.1382,2.1408,2.1322,2.1406,328.0,2025-04-01 19:59:59.999000+00:00,700.5918,12,305.0,651.473
2025-04-01 20:00:00+00:00,2.1381,2.1443,2.1213,2.1395,2444.0,2025-04-01 20:59:59.999000+00:00,5215.5531,28,1789.0,3818.2805
2025-04-01 21:00:00+00:00,2.1447,2.1497,2.141,2.1415,20064.0,2025-04-01 21:59:59.999000+00:00,43056.3918,75,16577.0,35574.3493
2025-04-01 22:00:00+00:00,2.142,2.1516,2.1376,2.1436,643.0,2025-04-01 22:59:59.999000+00:00,1380.1072,22,568.0,1219.0048
2025-04-01 23:00:00+00:00,2.143,2.143,2.127,2.1373,2587.0,2025-04-01 23:59:59.999000+00:00,5526.2486,62,2505.0,5351.3415
2025-04-02 00:00:00+00:00,2.1342,2.1342,2.1115,2.1153,120026.0,2025-04-02 00:59:59.999000+00:00,254284.6715,115,71482.0,151386.6835
2025-04-02 01:00:00+00:00,2.1113,2.1181,2.105,2.1077,2335.0,2025-04-02 01:59:59.999000+00:00,4927.8853,29,728.0,1536.7671
2025-04-02 02:00:00+00:00,2.1134,2.1135,2.0879,2.0978,4478.0,2025-04-02 02:59:59.999000+00:00,9386.4924,63,999.0,2096.1938
2025-04-02 03:00:00+00:00,2.1017,2.1044,2.1017,2.1024,221.0,2025-04-02 03:59:59.999000+00:00,464.7056,7,90.0,189.2906
2025-04-02 04:00:00+00:00,2.1046,2.1046,2.0929,2.1007,2859.0,2025-04-02 04:59:59.999000+00:00,6008.8194,17,623.0,1306.5396
2025-04-02 05:00:00+00:00,2.0935,2.0948,2.0763,2.0763,113286.0,2025-04-02 05:59:59.999000+00:00,235879.3741,102,407.0,851.3438
2025-04-02 06:00:00+00:00,2.0763,2.0826,2.0731,2.0731,9432.0,2025-04-02 06:59:59.999000+00:00,19604.8801,24,2501.0,5202.414
2025-04-02 07:00:00+00:00,2.0728,2.1114,2.0714,2.1114,1442.0,2025-04-02 07:59:59.999000+00:00,3024.6814,33,1099.0,2311.5468
