Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-01-09 00:00:00+00:00,694.95,699.0,674.86,682.24,337.27,2025-01-09 23:59:59.999000+00:00,232083.08239,1134,251.872,173491.25456
2025-01-10 00:00:00+00:00,686.84,699.0,668.18,693.4,606.852,2025-01-10 23:59:59.999000+00:00,418315.3379,1474,396.532,274127.60349
2025-01-11 00:00:00+00:00,692.95,698.95,685.34,698.76,151.695,2025-01-11 23:59:59.999000+00:00,105047.91549,695,87.217,60520.43935
2025-01-12 00:00:00+00:00,698.27,698.27,685.0,692.72,145.677,2025-01-12 23:59:59.999000+00:00,100636.26226,587,76.483,52901.88902
2025-01-13 00:00:00+00:00,692.96,698.0,659.87,687.66,255.706,2025-01-13 23:59:59.999000+00:00,172604.11382,1006,91.069,61861.72301
2025-01-14 00:00:00+00:00,684.72,698.0,659.0,697.98,401.429,2025-01-14 23:59:59.999000+00:00,276397.53946,1480,190.855,132010.41864
2025-01-15 00:00:00+00:00,697.98,713.18,688.12,713.08,381.284,2025-01-15 23:59:59.999000+00:00,267713.40973,1459,232.159,163628.20462
2025-01-16 00:00:00+00:00,712.55,714.98,684.18,703.22,426.787,2025-01-16 23:59:59.999000+00:00,301681.62664,1749,277.705,196876.56056
2025-01-17 00:00:00+00:00,707.21,729.18,703.26,721.25,512.405,2025-01-17 23:59:59.999000+00:00,369111.92824,1433,367.218,264695.1192
2025-01-18 00:00:00+00:00,722.07,723.48,696.0,710.5,564.382,2025-01-18 23:59:59.999000+00:00,396935.40043,1242,135.669,95842.68578
2025-01-19 00:00:00+00:00,710.02,713.99,647.32,685.69,887.949,2025-01-19 23:59:59.999000+00:00,614061.07833,2065,232.2,161925.65307
2025-01-20 00:00:00+00:00,685.69,708.7,671.55,680.17,601.842,2025-01-20 23:59:59.999000+00:00,413942.95884,1846,279.601,193110.47542
2025-01-21 00:00:00+00:00,685.52,696.27,665.0,691.19,330.34,2025-01-21 23:59:59.999000+00:00,225999.16019,1238,160.148,109659.57083
2025-01-22 00:00:00+00:00,689.7,703.06,687.08,693.45,234.477,2025-01-22 23:59:59.999000+00:00,162820.41342,799,83.885,58405.64385
2025-01-23 00:00:00+00:00,696.9,697.79,680.35,686.76,275.186,2025-01-23 23:59:59.999000+00:00,188637.18129,906,164.072,112478.74015
2025-01-24 00:00:00+00:00,687.14,690.97,674.15,679.4,333.313,2025-01-24 23:59:59.999000+00:00,227835.35524,1119,106.418,72872.08009
2025-01-25 00:00:00+00:00,679.56,689.03,675.89,686.03,180.784,2025-01-25 23:59:59.999000+00:00,123508.1832,665,47.812,32677.74305
2025-01-26 00:00:00+00:00,686.5,690.42,652.0,666.4,337.312,2025-01-26 23:59:59.999000+00:00,230124.43894,1638,146.784,100777.43854
2025-01-27 00:00:00+00:00,666.35,680.0,638.16,680.0,2816.753,2025-01-27 23:59:59.999000+00:00,1834940.38884,1843,2404.727,1563397.47155
2025-01-28 00:00:00+00:00,679.99,682.23,654.0,659.72,290.029,2025-01-28 23:59:59.999000+00:00,195076.40795,719,103.225,69808.02709
2025-01-29 00:00:00+00:00,663.87,678.58,640.88,668.07,228.202,2025-01-29 23:59:59.999000+00:00,152201.50735,1182,93.546,62606.14839
2025-01-30 00:00:00+00:00,667.82,681.73,666.1,676.42,393.905,2025-01-30 23:59:59.999000+00:00,267287.65009,576,287.233,195183.08437
2025-01-31 00:00:00+00:00,677.58,687.38,670.86,677.1,340.057,2025-01-31 23:59:59.999000+00:00,232126.5595,678,245.291,167991.83195
2025-02-01 00:00:00+00:00,676.85,680.98,651.0,653.03,205.359,2025-02-01 23:59:59.999000+00:00,136240.10282,721,42.104,28052.74579
2025-02-02 00:00:00+00:00,652.91,662.99,601.11,616.3,457.019,2025-02-02 23:59:59.999000+00:00,289770.28922,1649,157.777,100229.76082
2025-02-03 00:00:00+00:00,618.07,619.07,506.0,616.49,687.649,2025-02-03 23:59:59.999000+00:00,392306.12526,2541,218.288,126014.09872
2025-02-04 00:00:00+00:00,616.51,618.81,558.85,574.25,338.625,2025-02-04 23:59:59.999000+00:00,197104.75793,1039,93.638,54766.63533
2025-02-05 00:00:00+00:00,573.23,579.69,561.42,569.69,291.651,2025-02-05 23:59:59.999000+00:00,165604.99374,590,139.224,78887.3836
2025-02-06 00:00:00+00:00,570.0,588.64,566.04,572.55,112.469,2025-02-06 23:59:59.999000+00:00,64941.53308,574,52.274,30235.66307
2025-02-07 00:00:00+00:00,572.55,589.26,570.97,578.0,148.852,2025-02-07 23:59:59.999000+00:00,86297.62588,600,73.192,42584.11028
2025-02-08 00:00:00+00:00,577.99,650.0,573.61,618.12,516.895,2025-02-08 23:59:59.999000+00:00,318287.19564,1573,297.178,182311.99301
2025-02-09 00:00:00+00:00,617.02,647.57,603.02,615.83,419.097,2025-02-09 23:59:59.999000+00:00,261605.58404,1509,220.375,138372.72003
2025-02-10 00:00:00+00:00,616.7,621.1,596.72,618.4,180.18,2025-02-10 23:59:59.999000+00:00,109369.30713,733,64.549,39433.39615
2025-02-11 00:00:00+00:00,618.4,645.67,614.93,642.06,209.64,2025-02-11 23:59:59.999000+00:00,132686.87686,1005,117.464,74540.90821
2025-02-12 00:00:00+00:00,644.65,704.52,627.64,696.55,852.528,2025-02-12 23:59:59.999000+00:00,577041.07538,2174,644.969,436481.67873
2025-02-13 00:00:00+00:00,696.83,737.51,667.02,670.36,1603.582,2025-02-13 23:59:59.999000+00:00,1133444.73418,4172,823.304,588212.39859
2025-02-14 00:00:00+00:00,670.36,684.26,652.26,657.96,540.259,2025-02-14 23:59:59.999000+00:00,361368.64113,1259,137.136,92090.57236
2025-02-15 00:00:00+00:00,659.37,670.67,653.39,662.51,291.886,2025-02-15 23:59:59.999000+00:00,193469.68129,633,168.977,112057.46976
2025-02-16 00:00:00+00:00,661.24,685.0,654.0,674.0,231.212,2025-02-16 23:59:59.999000+00:00,155650.53084,850,115.443,77944.73736
2025-02-17 00:00:00+00:00,673.51,681.6,658.51,665.91,215.235,2025-02-17 23:59:59.999000+00:00,144106.31305,777,132.482,88859.72707
2025-02-18 00:00:00+00:00,667.56,667.67,607.0,647.65,1321.715,2025-02-18 23:59:59.999000+00:00,871964.42286,1693,1113.103,737607.75116
2025-02-19 00:00:00+00:00,648.05,663.3,637.7,654.34,380.525,2025-02-19 23:59:59.999000+00:00,248760.34846,724,267.898,175328.03944
2025-02-20 00:00:00+00:00,654.2,658.48,646.65,655.92,146.718,2025-02-20 23:59:59.999000+00:00,95557.76859,615,71.795,46830.98594
2025-02-21 00:00:00+00:00,655.49,667.87,635.31,647.39,546.704,2025-02-21 23:59:59.999000+00:00,356625.73211,1011,255.267,167853.80481
2025-02-22 00:00:00+00:00,647.39,679.26,642.86,667.52,788.087,2025-02-22 23:59:59.999000+00:00,527382.49547,969,697.68,467439.13809
2025-02-23 00:00:00+00:00,668.17,671.32,648.6,658.2,274.727,2025-02-23 23:59:59.999000+00:00,181967.11208,629,131.124,86849.68181
2025-02-24 00:00:00+00:00,657.97,658.84,611.2,611.91,434.782,2025-02-24 23:59:59.999000+00:00,275154.17715,1022,225.326,141708.84479
2025-02-25 00:00:00+00:00,616.59,627.66,586.59,623.03,392.576,2025-02-25 23:59:59.999000+00:00,239407.69733,1369,193.441,117972.75078
2025-02-26 00:00:00+00:00,621.8,631.6,594.68,611.21,264.245,2025-02-26 23:59:59.999000+00:00,162503.15819,970,112.296,69152.76931
2025-02-27 00:00:00+00:00,611.2,619.1,596.0,603.74,564.313,2025-02-27 23:59:59.999000+00:00,343506.17739,733,485.394,295483.71705
2025-02-28 00:00:00+00:00,605.33,605.74,560.29,589.45,301.086,2025-02-28 23:59:59.999000+00:00,175255.71146,1268,119.788,69950.1421
2025-03-01 00:00:00+00:00,589.91,608.65,586.42,608.09,1518.374,2025-03-01 23:59:59.999000+00:00,911497.74424,962,1247.013,749409.35432
2025-03-02 00:00:00+00:00,605.81,637.69,600.86,623.56,894.894,2025-03-02 23:59:59.999000+00:00,550451.48085,1768,626.21,384798.50745
2025-03-03 00:00:00+00:00,621.86,623.44,568.08,577.85,315.972,2025-03-03 23:59:59.999000+00:00,189156.04602,1394,68.255,40711.89553
