Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 17:00:00+00:00,610.89,611.28,607.56,609.23,3.759,2025-04-01 17:59:59.999000+00:00,2290.32458,26,1.36,829.73454
2025-04-01 18:00:00+00:00,608.83,608.83,607.65,608.02,0.799,2025-04-01 18:59:59.999000+00:00,486.06875,7,0.478,291.00574
2025-04-01 19:00:00+00:00,608.89,610.08,607.18,608.07,12.84,2025-04-01 19:59:59.999000+00:00,7811.88666,61,10.533,6410.70221
2025-04-01 20:00:00+00:00,610.19,610.19,607.8,609.87,4.063,2025-04-01 20:59:59.999000+00:00,2473.84965,12,3.728,2270.0658
2025-04-01 21:00:00+00:00,610.19,610.79,609.08,609.42,2.232,2025-04-01 21:59:59.999000+00:00,1361.57226,16,0.412,251.41868
2025-04-01 22:00:00+00:00,609.66,613.74,609.66,612.35,1.631,2025-04-01 22:59:59.999000+00:00,997.9285,16,0.628,383.70484
2025-04-01 23:00:00+00:00,609.91,611.42,608.89,611.42,2.53,2025-04-01 23:59:59.999000+00:00,1544.16695,16,1.364,833.11856
2025-04-02 00:00:00+00:00,611.44,611.44,607.31,607.31,8.281,2025-04-02 00:59:59.999000+00:00,5048.51937,103,5.05,3083.68925
2025-04-02 01:00:00+00:00,607.18,608.33,606.51,606.51,0.57,2025-04-02 01:59:59.999000+00:00,345.9571,16,0.248,150.55152
2025-04-02 02:00:00+00:00,607.26,607.37,601.83,601.83,15.835,2025-04-02 02:59:59.999000+00:00,9564.50753,40,1.345,812.97181
2025-04-02 03:00:00+00:00,601.41,604.37,601.4,601.4,1.018,2025-04-02 03:59:59.999000+00:00,612.69989,10,0.165,99.49676
2025-04-02 04:00:00+00:00,602.01,602.29,600.5,600.5,10.15,2025-04-02 04:59:59.999000+00:00,6100.93515,20,4.632,2784.71047
2025-04-02 05:00:00+00:00,600.05,600.05,597.2,597.2,4.58,2025-04-02 05:59:59.999000+00:00,2742.1295,30,2.331,1394.73046
2025-04-02 06:00:00+00:00,597.08,599.76,596.0,599.61,40.31,2025-04-02 06:59:59.999000+00:00,24031.70596,23,32.052,19103.24087
2025-04-02 07:00:00+00:00,599.32,600.56,598.74,600.56,0.98,2025-04-02 07:59:59.999000+00:00,587.42592,7,0.193,115.73926
2025-04-02 08:00:00+00:00,600.56,605.3,600.56,602.93,1.956,2025-04-02 08:59:59.999000+00:00,1178.97155,18,1.784,1075.24179
2025-04-02 09:00:00+00:00,604.21,604.38,603.5,604.24,4.974,2025-04-02 09:59:59.999000+00:00,3001.85813,6,0.035,21.14943
2025-04-02 10:00:00+00:00,602.85,602.93,600.41,600.41,5.065,2025-04-02 10:59:59.999000+00:00,3047.95337,10,0.382,230.20902
2025-04-02 11:00:00+00:00,600.95,600.95,599.66,599.66,0.141,2025-04-02 11:59:59.999000+00:00,84.63612,4,0.042,25.2399
2025-04-02 12:00:00+00:00,599.3,600.45,598.23,599.57,3.049,2025-04-02 12:59:59.999000+00:00,1826.56356,16,1.33,797.6701
2025-04-02 13:00:00+00:00,601.95,604.69,599.77,603.93,1.854,2025-04-02 13:59:59.999000+00:00,1114.67578,19,0.854,514.67578
2025-04-02 14:00:00+00:00,601.46,604.61,601.46,603.7,3.645,2025-04-02 14:59:59.999000+00:00,2196.82206,13,0.287,173.29739
2025-04-02 15:00:00+00:00,603.7,608.76,599.3,604.04,18.601,2025-04-02 15:59:59.999000+00:00,11239.30321,79,14.53,8787.43918
2025-04-02 16:00:00+00:00,604.69,607.09,602.0,603.14,32.224,2025-04-02 16:59:59.999000+00:00,19411.86365,32,25.0,15054.3401
2025-04-02 17:00:00+00:00,606.46,607.1,601.79,601.92,2.202,2025-04-02 17:59:59.999000+00:00,1334.70477,8,0.414,250.9531
2025-04-02 18:00:00+00:00,604.93,605.13,602.27,605.13,2.714,2025-04-02 18:59:59.999000+00:00,1636.71154,17,0.41,247.67681
2025-04-02 19:00:00+00:00,602.8,605.7,602.8,605.7,0.767,2025-04-02 19:59:59.999000+00:00,463.94468,7,0.719,435.00756
2025-04-02 20:00:00+00:00,603.21,610.94,599.91,602.92,22.539,2025-04-02 20:59:59.999000+00:00,13553.96514,62,3.448,2094.08137
2025-04-02 21:00:00+00:00,599.88,599.88,596.64,599.75,2.221,2025-04-02 21:59:59.999000+00:00,1327.95152,23,0.337,201.66666
2025-04-02 22:00:00+00:00,596.48,597.18,585.2,586.85,17.757,2025-04-02 22:59:59.999000+00:00,10446.17437,106,7.606,4460.66399
2025-04-02 23:00:00+00:00,586.0,591.38,585.75,590.92,10.075,2025-04-02 23:59:59.999000+00:00,5948.66063,16,0.935,551.0083
2025-04-03 00:00:00+00:00,590.02,596.29,590.02,596.29,5.805,2025-04-03 00:59:59.999000+00:00,3447.41922,178,2.373,1409.73307
2025-04-03 01:00:00+00:00,596.21,600.89,596.19,600.82,4.391,2025-04-03 01:59:59.999000+00:00,2626.98868,41,3.554,2127.44047
2025-04-03 02:00:00+00:00,601.73,609.07,598.85,603.69,8.755,2025-04-03 02:59:59.999000+00:00,5285.89133,64,6.461,3904.56836
2025-04-03 03:00:00+00:00,603.59,603.59,598.29,601.07,4.092,2025-04-03 03:59:59.999000+00:00,2459.24147,24,0.552,331.4385
2025-04-03 04:00:00+00:00,602.54,603.79,601.26,602.81,1.421,2025-04-03 04:59:59.999000+00:00,855.40358,18,1.415,851.78672
2025-04-03 05:00:00+00:00,603.79,608.54,600.92,608.54,22.924,2025-04-03 05:59:59.999000+00:00,13860.5041,45,3.914,2377.09213
2025-04-03 06:00:00+00:00,607.88,607.88,603.52,603.52,2.525,2025-04-03 06:59:59.999000+00:00,1530.64632,24,0.351,212.52738
2025-04-03 07:00:00+00:00,604.11,604.41,599.3,600.28,1.258,2025-04-03 07:59:59.999000+00:00,756.33286,37,0.506,304.3102
2025-04-03 08:00:00+00:00,600.43,600.9,595.55,597.38,4.413,2025-04-03 08:59:59.999000+00:00,2636.92648,34,0.301,180.61582
2025-04-03 09:00:00+00:00,596.4,600.46,596.4,598.87,1.481,2025-04-03 09:59:59.999000+00:00,887.20359,14,0.084,50.41791
2025-04-03 10:00:00+00:00,597.35,597.35,594.56,594.56,4.021,2025-04-03 10:59:59.999000+00:00,2397.21107,14,0.306,182.27889
2025-04-03 11:00:00+00:00,594.01,594.01,593.0,593.0,3.686,2025-04-03 11:59:59.999000+00:00,2186.3719,9,0.025,14.8445
2025-04-03 12:00:00+00:00,593.61,593.61,585.42,585.42,11.128,2025-04-03 12:59:59.999000+00:00,6581.19114,62,0.326,192.0519
2025-04-03 13:00:00+00:00,585.26,591.35,584.95,587.71,30.366,2025-04-03 13:59:59.999000+00:00,17861.10804,47,25.2,14831.12129
2025-04-03 14:00:00+00:00,588.18,588.18,577.55,577.55,23.029,2025-04-03 14:59:59.999000+00:00,13342.92907,68,0.345,202.15946
2025-04-03 15:00:00+00:00,580.46,585.53,580.46,585.53,4.082,2025-04-03 15:59:59.999000+00:00,2380.7694,23,3.619,2109.67555
2025-04-03 16:00:00+00:00,585.97,589.6,585.97,586.14,5.484,2025-04-03 16:59:59.999000+00:00,3223.13208,22,2.413,1421.18054
2025-04-03 17:00:00+00:00,587.59,589.06,587.47,589.06,0.453,2025-04-03 17:59:59.999000+00:00,266.58952,6,0.436,256.59471
2025-04-03 18:00:00+00:00,585.97,589.44,585.91,589.44,0.223,2025-04-03 18:59:59.999000+00:00,131.02645,5,0.166,97.62754
2025-04-03 19:00:00+00:00,588.99,589.22,586.92,588.59,6.513,2025-04-03 19:59:59.999000+00:00,3834.57088,8,5.217,3072.7643
2025-04-03 20:00:00+00:00,587.39,589.45,587.31,589.45,1.68,2025-04-03 20:59:59.999000+00:00,987.97224,8,0.985,579.75499
2025-04-03 21:00:00+00:00,589.79,592.14,589.17,592.14,4.543,2025-04-03 21:59:59.999000+00:00,2682.51654,21,1.453,857.94182
2025-04-03 22:00:00+00:00,591.41,592.76,590.95,592.4,4.423,2025-04-03 22:59:59.999000+00:00,2620.04538,47,3.679,2179.78583
2025-04-03 23:00:00+00:00,591.33,592.87,590.49,592.13,1.808,2025-04-03 23:59:59.999000+00:00,1068.65525,13,1.774,1048.55105
2025-04-04 00:00:00+00:00,592.76,594.13,591.49,594.13,1.407,2025-04-04 00:59:59.999000+00:00,833.9411,72,0.867,514.14991
2025-04-04 01:00:00+00:00,592.01,593.21,588.66,588.66,3.82,2025-04-04 01:59:59.999000+00:00,2254.57628,11,0.423,250.54074
2025-04-04 02:00:00+00:00,590.09,592.95,590.09,592.95,0.557,2025-04-04 02:59:59.999000+00:00,329.65276,7,0.557,329.65276
2025-04-04 03:00:00+00:00,591.94,593.39,591.03,593.39,0.344,2025-04-04 03:59:59.999000+00:00,203.57908,4,0.126,74.73454
2025-04-04 04:00:00+00:00,592.32,593.39,591.72,591.72,2.013,2025-04-04 04:59:59.999000+00:00,1192.24513,8,0.12,71.17982
2025-04-04 05:00:00+00:00,591.67,594.6,591.67,594.6,0.761,2025-04-04 05:59:59.999000+00:00,452.01157,7,0.761,452.01157
2025-04-04 06:00:00+00:00,594.87,597.51,594.87,595.53,2.328,2025-04-04 06:59:59.999000+00:00,1387.51778,17,1.308,780.04498
2025-04-04 07:00:00+00:00,593.9,598.32,593.9,598.32,0.513,2025-04-04 07:59:59.999000+00:00,305.92634,9,0.343,204.96334
2025-04-04 08:00:00+00:00,598.32,598.7,596.41,598.6,11.421,2025-04-04 08:59:59.999000+00:00,6823.61944,16,1.098,657.17746
2025-04-04 09:00:00+00:00,597.76,598.61,596.92,598.61,5.114,2025-04-04 09:59:59.999000+00:00,3054.54298,11,1.743,1041.40866
2025-04-04 10:00:00+00:00,598.71,598.8,589.53,589.53,54.943,2025-04-04 10:59:59.999000+00:00,32583.68903,31,0.538,319.83862
