Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-01-09 00:00:00+00:00,0.34225,0.34652,0.315,0.3217,1313313.0,2025-01-09 23:59:59.999000+00:00,430932.45674,1671,437948.0,144815.81206
2025-01-10 00:00:00+00:00,0.32175,0.34627,0.32175,0.33376,2197527.0,2025-01-10 23:59:59.999000+00:00,728983.9337,1421,1205433.0,400597.56617
2025-01-11 00:00:00+00:00,0.33376,0.34785,0.32987,0.34143,3176597.0,2025-01-11 23:59:59.999000+00:00,1075851.72813,712,1970573.0,669847.33968
2025-01-12 00:00:00+00:00,0.3408,0.34295,0.33203,0.33589,746409.0,2025-01-12 23:59:59.999000+00:00,252147.06851,537,409300.0,138286.1874
2025-01-13 00:00:00+00:00,0.33616,0.35173,0.31038,0.33733,3150361.0,2025-01-13 23:59:59.999000+00:00,1054510.59433,2243,1702652.0,574287.24605
2025-01-14 00:00:00+00:00,0.33627,0.36186,0.33616,0.35593,3867523.0,2025-01-14 23:59:59.999000+00:00,1356362.31965,2063,3133259.0,1097090.28184
2025-01-15 00:00:00+00:00,0.35593,0.38739,0.34868,0.386,5245870.0,2025-01-15 23:59:59.999000+00:00,1943443.33517,2700,2958954.0,1097967.99185
2025-01-16 00:00:00+00:00,0.38611,0.38964,0.36838,0.37582,2944178.0,2025-01-16 23:59:59.999000+00:00,1120317.49572,2734,1491361.0,569805.29217
2025-01-17 00:00:00+00:00,0.37646,0.4215,0.37542,0.41555,3776160.0,2025-01-17 23:59:59.999000+00:00,1522133.82215,3184,2389069.0,959901.15809
2025-01-18 00:00:00+00:00,0.41558,0.43377,0.38499,0.39582,4357401.0,2025-01-18 23:59:59.999000+00:00,1764665.4141,4196,2103220.0,852897.25371
2025-01-19 00:00:00+00:00,0.39701,0.40951,0.34909,0.35885,5738903.0,2025-01-19 23:59:59.999000+00:00,2187341.16888,5052,2246139.0,863788.77618
2025-01-20 00:00:00+00:00,0.35845,0.38733,0.34555,0.35329,4358332.0,2025-01-20 23:59:59.999000+00:00,1594495.22716,4467,2095515.0,772015.52092
2025-01-21 00:00:00+00:00,0.35483,0.4,0.3363,0.37166,6860108.0,2025-01-21 23:59:59.999000+00:00,2546187.28172,4704,3706855.0,1394396.82789
2025-01-22 00:00:00+00:00,0.37165,0.37371,0.35563,0.36237,1612264.0,2025-01-22 23:59:59.999000+00:00,586981.11649,1553,708644.0,258006.05478
2025-01-23 00:00:00+00:00,0.36284,0.36439,0.34184,0.35183,3132980.0,2025-01-23 23:59:59.999000+00:00,1105941.78693,1672,1279332.0,452503.92514
2025-01-24 00:00:00+00:00,0.35323,0.36442,0.34306,0.35063,2398290.0,2025-01-24 23:59:59.999000+00:00,854862.0094,1206,1215234.0,433001.05377
2025-01-25 00:00:00+00:00,0.35063,0.36119,0.34571,0.35366,1939814.0,2025-01-25 23:59:59.999000+00:00,686244.17407,846,1519692.0,537976.47754
2025-01-26 00:00:00+00:00,0.35391,0.35692,0.33561,0.33594,2466116.0,2025-01-26 23:59:59.999000+00:00,867296.26568,860,1034096.0,364584.72769
2025-01-27 00:00:00+00:00,0.33594,0.33662,0.30692,0.3324,1980173.0,2025-01-27 23:59:59.999000+00:00,639045.41314,2126,661378.0,214020.178
2025-01-28 00:00:00+00:00,0.33273,0.33907,0.31559,0.31856,919310.0,2025-01-28 23:59:59.999000+00:00,303940.25574,1158,347680.0,115362.84434
2025-01-29 00:00:00+00:00,0.31925,0.33422,0.3171,0.32371,596725.0,2025-01-29 23:59:59.999000+00:00,194323.73322,1124,289212.0,94350.1521
2025-01-30 00:00:00+00:00,0.32457,0.33819,0.32234,0.33156,1955056.0,2025-01-30 23:59:59.999000+00:00,650320.40738,805,920785.0,306523.3603
2025-01-31 00:00:00+00:00,0.33204,0.33963,0.32374,0.32789,2480568.0,2025-01-31 23:59:59.999000+00:00,823054.68911,1202,1457672.0,485623.65381
2025-02-01 00:00:00+00:00,0.32879,0.332,0.30373,0.308,1466734.0,2025-02-01 23:59:59.999000+00:00,460327.51411,990,583028.0,182842.81277
2025-02-02 00:00:00+00:00,0.30741,0.3148,0.25178,0.26772,4191752.0,2025-02-02 23:59:59.999000+00:00,1175217.59149,2625,1715550.0,479680.35642
2025-02-03 00:00:00+00:00,0.26578,0.29259,0.205,0.28474,5825683.0,2025-02-03 23:59:59.999000+00:00,1456401.3666,3842,2578539.0,661163.0578
2025-02-04 00:00:00+00:00,0.28439,0.28854,0.23999,0.26351,4743482.0,2025-02-04 23:59:59.999000+00:00,1251550.45157,2288,1752118.0,456830.07411
2025-02-05 00:00:00+00:00,0.264,0.26903,0.2535,0.25628,385066.0,2025-02-05 23:59:59.999000+00:00,100935.15748,551,202667.0,53182.42642
2025-02-06 00:00:00+00:00,0.25655,0.26538,0.24334,0.24801,846837.0,2025-02-06 23:59:59.999000+00:00,215094.06644,712,509374.0,129424.67229
2025-02-07 00:00:00+00:00,0.24735,0.26146,0.23887,0.24605,579101.0,2025-02-07 23:59:59.999000+00:00,145445.89252,853,282676.0,71478.40389
2025-02-08 00:00:00+00:00,0.24605,0.25386,0.24514,0.25345,509013.0,2025-02-08 23:59:59.999000+00:00,126837.19696,394,401149.0,99913.68052
2025-02-09 00:00:00+00:00,0.25361,0.25959,0.24019,0.24918,2712799.0,2025-02-09 23:59:59.999000+00:00,684321.53261,782,1201789.0,304707.45336
2025-02-10 00:00:00+00:00,0.24953,0.25606,0.2419,0.25547,462424.0,2025-02-10 23:59:59.999000+00:00,116279.74786,593,325016.0,81871.11236
2025-02-11 00:00:00+00:00,0.25558,0.26976,0.2489,0.25293,3109428.0,2025-02-11 23:59:59.999000+00:00,806298.14752,1091,1074576.0,279950.34205
2025-02-12 00:00:00+00:00,0.25263,0.2671,0.24703,0.26379,1808028.0,2025-02-12 23:59:59.999000+00:00,472089.89166,969,1031179.0,270039.77604
2025-02-13 00:00:00+00:00,0.26423,0.26699,0.25359,0.26222,2219989.0,2025-02-13 23:59:59.999000+00:00,572333.82009,904,1110951.0,287181.12054
2025-02-14 00:00:00+00:00,0.26222,0.28639,0.26121,0.27215,2703444.0,2025-02-14 23:59:59.999000+00:00,740433.22681,1389,1382881.0,378577.10845
2025-02-15 00:00:00+00:00,0.27244,0.28315,0.2686,0.2716,773846.0,2025-02-15 23:59:59.999000+00:00,213610.76095,611,380510.0,105017.42235
2025-02-16 00:00:00+00:00,0.27138,0.27357,0.26403,0.26639,1274126.0,2025-02-16 23:59:59.999000+00:00,341075.99469,417,691321.0,184867.79959
2025-02-17 00:00:00+00:00,0.26625,0.26837,0.25402,0.25835,1131866.0,2025-02-17 23:59:59.999000+00:00,297390.91706,706,627062.0,165733.73974
2025-02-18 00:00:00+00:00,0.25904,0.25904,0.2424,0.25102,2963648.0,2025-02-18 23:59:59.999000+00:00,747269.69366,772,2159582.0,546403.15173
2025-02-19 00:00:00+00:00,0.25113,0.256,0.24909,0.25477,1042099.0,2025-02-19 23:59:59.999000+00:00,264903.31239,593,629541.0,159926.19988
2025-02-20 00:00:00+00:00,0.25529,0.25731,0.25023,0.25476,660989.0,2025-02-20 23:59:59.999000+00:00,167864.3292,526,243749.0,61845.15586
