Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 17:00:00+00:00,0.1734,0.1734,0.1726,0.17271,5094.0,2025-04-01 17:59:59.999000+00:00,880.54892,13,1407.0,243.54872
2025-04-01 18:00:00+00:00,0.17249,0.17249,0.17114,0.17181,5780.0,2025-04-01 18:59:59.999000+00:00,993.20241,17,3239.0,557.4836
2025-04-01 19:00:00+00:00,0.17198,0.1723,0.17187,0.17187,13403.0,2025-04-01 19:59:59.999000+00:00,2308.58757,16,12773.0,2200.28718
2025-04-01 20:00:00+00:00,0.17197,0.1723,0.17113,0.17226,3049.0,2025-04-01 20:59:59.999000+00:00,523.18001,13,2657.0,455.98278
2025-04-01 21:00:00+00:00,0.1729,0.17332,0.1729,0.17319,33164.0,2025-04-01 21:59:59.999000+00:00,5739.5847,15,10473.0,1811.15558
2025-04-01 22:00:00+00:00,0.174,0.17466,0.174,0.17466,15988.0,2025-04-01 22:59:59.999000+00:00,2785.88774,12,15938.0,2777.16874
2025-04-01 23:00:00+00:00,0.17389,0.17475,0.17302,0.17441,5718.0,2025-04-01 23:59:59.999000+00:00,994.71283,14,5459.0,949.76968
2025-04-02 00:00:00+00:00,0.17332,0.17332,0.17226,0.17226,7402.0,2025-04-02 00:59:59.999000+00:00,1281.30442,9,3460.0,598.6418
2025-04-02 01:00:00+00:00,0.17152,0.17282,0.17106,0.17214,9339.0,2025-04-02 01:59:59.999000+00:00,1604.88452,16,3389.0,583.27856
2025-04-02 02:00:00+00:00,0.172,0.172,0.17008,0.1712,16913.0,2025-04-02 02:59:59.999000+00:00,2884.71588,20,10550.0,1799.7118
2025-04-02 03:00:00+00:00,0.17226,0.17226,0.1712,0.1714,2595.0,2025-04-02 03:59:59.999000+00:00,445.78439,6,305.0,52.4619
2025-04-02 04:00:00+00:00,0.17157,0.17157,0.17111,0.17111,464.0,2025-04-02 04:59:59.999000+00:00,79.47804,3,326.0,55.86486
2025-04-02 05:00:00+00:00,0.17015,0.17015,0.16834,0.16834,66770.0,2025-04-02 05:59:59.999000+00:00,11272.73871,27,40386.0,6817.21466
2025-04-02 06:00:00+00:00,0.16867,0.16911,0.16783,0.16911,3009.0,2025-04-02 06:59:59.999000+00:00,507.58628,9,2513.0,424.2484
2025-04-02 07:00:00+00:00,0.16807,0.16937,0.16803,0.16925,4986.0,2025-04-02 07:59:59.999000+00:00,842.96863,9,4700.0,794.86913
2025-04-02 08:00:00+00:00,0.17015,0.17092,0.17014,0.1703,566.0,2025-04-02 08:59:59.999000+00:00,96.3554,4,505.0,85.97686
2025-04-02 09:00:00+00:00,0.17106,0.17287,0.17106,0.17143,19177.0,2025-04-02 09:59:59.999000+00:00,3297.92294,27,2291.0,394.6016
2025-04-02 10:00:00+00:00,0.17283,0.17332,0.17226,0.17226,26356.0,2025-04-02 10:59:59.999000+00:00,4554.76551,11,332.0,57.53398
2025-04-02 11:00:00+00:00,0.1722,0.1722,0.17107,0.17107,5235.0,2025-04-02 11:59:59.999000+00:00,898.3032,6,5020.0,861.4952
2025-04-02 12:00:00+00:00,0.17154,0.17231,0.17076,0.17231,13470.0,2025-04-02 12:59:59.999000+00:00,2310.3821,19,12934.0,2218.70729
2025-04-02 13:00:00+00:00,0.17192,0.17441,0.16982,0.17226,9703.0,2025-04-02 13:59:59.999000+00:00,1672.51981,33,3214.0,557.98103
2025-04-02 14:00:00+00:00,0.17289,0.17289,0.17092,0.17249,8537.0,2025-04-02 14:59:59.999000+00:00,1466.63957,17,3474.0,596.89979
2025-04-02 15:00:00+00:00,0.17219,0.17772,0.17217,0.17562,143750.0,2025-04-02 15:59:59.999000+00:00,25072.66238,88,13636.0,2404.22532
2025-04-02 16:00:00+00:00,0.17627,0.17627,0.17365,0.17365,12278.0,2025-04-02 16:59:59.999000+00:00,2142.65354,13,2030.0,356.89585
2025-04-02 17:00:00+00:00,0.17454,0.17454,0.17087,0.17116,18746.0,2025-04-02 17:59:59.999000+00:00,3221.0743,35,6825.0,1173.65374
2025-04-02 18:00:00+00:00,0.17193,0.17362,0.17193,0.17307,19075.0,2025-04-02 18:59:59.999000+00:00,3292.77604,21,10164.0,1756.45658
2025-04-02 19:00:00+00:00,0.17342,0.17407,0.1732,0.17407,4813.0,2025-04-02 19:59:59.999000+00:00,834.29564,8,2542.0,440.8418
2025-04-02 20:00:00+00:00,0.17249,0.1789,0.17017,0.17197,212289.0,2025-04-02 20:59:59.999000+00:00,37554.64803,120,189338.0,33579.72361
2025-04-02 21:00:00+00:00,0.17226,0.17249,0.16856,0.16914,274762.0,2025-04-02 21:59:59.999000+00:00,46592.70067,66,78343.0,13308.01946
2025-04-02 22:00:00+00:00,0.16836,0.16836,0.16238,0.16287,40316.0,2025-04-02 22:59:59.999000+00:00,6644.62724,80,16974.0,2807.85894
2025-04-02 23:00:00+00:00,0.16371,0.1651,0.16272,0.16367,5279.0,2025-04-02 23:59:59.999000+00:00,863.80146,23,2633.0,430.70903
2025-04-03 00:00:00+00:00,0.1633,0.16602,0.1633,0.16602,28426.0,2025-04-03 00:59:59.999000+00:00,4702.45025,17,27862.0,4609.78278
2025-04-03 01:00:00+00:00,0.16611,0.16646,0.16595,0.16637,6984.0,2025-04-03 01:59:59.999000+00:00,1159.77598,9,6910.0,1147.4646
2025-04-03 02:00:00+00:00,0.16575,0.16639,0.16471,0.16639,12474.0,2025-04-03 02:59:59.999000+00:00,2067.47571,12,2456.0,407.24356
2025-04-03 03:00:00+00:00,0.1666,0.1666,0.16576,0.16613,17630.0,2025-04-03 03:59:59.999000+00:00,2927.1746,9,1857.0,309.3762
2025-04-03 04:00:00+00:00,0.16629,0.16717,0.16629,0.16708,2752.0,2025-04-03 04:59:59.999000+00:00,459.08646,10,1987.0,331.68336
2025-04-03 05:00:00+00:00,0.16707,0.16709,0.16602,0.16602,14607.0,2025-04-03 05:59:59.999000+00:00,2439.84849,5,14385.0,2402.99205
2025-04-03 06:00:00+00:00,0.16602,0.16602,0.16456,0.16456,19658.0,2025-04-03 06:59:59.999000+00:00,3242.88112,10,19300.0,3183.85655
2025-04-03 07:00:00+00:00,0.16398,0.1642,0.16398,0.1642,5058.0,2025-04-03 07:59:59.999000+00:00,829.6733,3,3641.0,597.05118
2025-04-03 08:00:00+00:00,0.16417,0.16449,0.16417,0.16446,7249.0,2025-04-03 08:59:59.999000+00:00,1190.23378,4,7156.0,1174.939
2025-04-03 09:00:00+00:00,0.16376,0.16432,0.16301,0.16301,8984.0,2025-04-03 09:59:59.999000+00:00,1470.05523,10,1616.0,264.70144
2025-04-03 10:00:00+00:00,0.16298,0.16298,0.16051,0.1612,29924.0,2025-04-03 10:59:59.999000+00:00,4833.56841,31,737.0,118.5425
2025-04-03 11:00:00+00:00,0.16036,0.1609,0.1596,0.16014,17505.0,2025-04-03 11:59:59.999000+00:00,2806.1013,24,1330.0,212.66952
2025-04-03 12:00:00+00:00,0.16068,0.1609,0.15599,0.15718,85003.0,2025-04-03 12:59:59.999000+00:00,13364.1388,70,22546.0,3556.02967
