Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 17:00:00+00:00,0.17363,0.17378,0.17181,0.17247,8543.0,2025-04-01 17:59:59.999000+00:00,1477.93555,7,8543.0,1477.93555
2025-04-01 18:00:00+00:00,0.17126,0.17126,0.17029,0.17114,3491.0,2025-04-01 18:59:59.999000+00:00,595.82596,9,3116.0,531.75046
2025-04-01 19:00:00+00:00,0.17016,0.17016,0.17016,0.17016,4008.0,2025-04-01 19:59:59.999000+00:00,682.00128,2,4008.0,682.00128
2025-04-01 20:00:00+00:00,0.17036,0.17036,0.16977,0.17009,7908.0,2025-04-01 20:59:59.999000+00:00,1344.95764,11,4659.0,793.03848
2025-04-01 21:00:00+00:00,0.1721,0.1721,0.17146,0.17207,6002.0,2025-04-01 21:59:59.999000+00:00,1032.81228,9,1602.0,275.65614
2025-04-01 22:00:00+00:00,0.17124,0.17124,0.17094,0.17094,1125.0,2025-04-01 22:59:59.999000+00:00,192.3825,2,1125.0,192.3825
2025-04-01 23:00:00+00:00,0.16972,0.17032,0.16972,0.17032,1982.0,2025-04-01 23:59:59.999000+00:00,336.98564,3,234.0,39.85488
2025-04-02 00:00:00+00:00,0.16987,0.16987,0.16854,0.16854,3586.0,2025-04-02 00:59:59.999000+00:00,606.53812,16,2541.0,429.91844
2025-04-02 01:00:00+00:00,0.16826,0.16826,0.16677,0.16677,2882.0,2025-04-02 01:59:59.999000+00:00,482.86185,9,357.0,59.9849
2025-04-02 02:00:00+00:00,0.16672,0.16672,0.16479,0.16479,4233.0,2025-04-02 02:59:59.999000+00:00,703.01622,7,1395.0,231.7095
2025-04-02 03:00:00+00:00,0.16682,0.16682,0.16648,0.16651,2859.0,2025-04-02 03:59:59.999000+00:00,476.0231,5,2859.0,476.0231
2025-04-02 04:00:00+00:00,0.16576,0.16581,0.16576,0.16581,1601.0,2025-04-02 04:59:59.999000+00:00,265.44676,2,1601.0,265.44676
