Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-01-09 00:00:00+00:00,101.67,105.84,99.99,103.04,1611.753,2025-01-09 23:59:59.999000+00:00,165814.01251,785,972.815,100307.9087
2025-01-10 00:00:00+00:00,102.42,106.32,101.72,103.92,632.33,2025-01-10 23:59:59.999000+00:00,66026.04346,607,275.441,28834.02055
2025-01-11 00:00:00+00:00,103.93,106.65,102.6,104.44,281.726,2025-01-11 23:59:59.999000+00:00,29171.86396,367,137.712,14306.43739
2025-01-12 00:00:00+00:00,104.14,110.0,101.7,102.33,762.648,2025-01-12 23:59:59.999000+00:00,79225.87487,511,584.321,60724.50156
2025-01-13 00:00:00+00:00,102.46,104.36,90.1,98.38,1050.76,2025-01-13 23:59:59.999000+00:00,103174.89612,1057,261.71,25890.85569
2025-01-14 00:00:00+00:00,98.28,105.0,97.64,102.23,843.892,2025-01-14 23:59:59.999000+00:00,84687.08421,720,263.943,26580.32569
2025-01-15 00:00:00+00:00,102.48,118.66,101.04,116.74,2795.028,2025-01-15 23:59:59.999000+00:00,296321.6817,1178,2046.315,217643.35988
2025-01-16 00:00:00+00:00,118.0,130.35,114.24,124.15,3369.585,2025-01-16 23:59:59.999000+00:00,408574.18979,2235,1928.061,233876.3099
2025-01-17 00:00:00+00:00,124.57,141.0,124.08,136.99,2591.816,2025-01-17 23:59:59.999000+00:00,352209.31103,1533,1549.28,210945.0267
2025-01-18 00:00:00+00:00,137.25,139.49,123.31,125.76,1266.224,2025-01-18 23:59:59.999000+00:00,162569.6215,1253,539.749,69433.36833
2025-01-19 00:00:00+00:00,125.32,128.67,112.8,115.67,2753.88,2025-01-19 23:59:59.999000+00:00,324793.08825,1703,792.699,96066.71675
2025-01-20 00:00:00+00:00,114.83,127.99,112.94,118.51,1756.213,2025-01-20 23:59:59.999000+00:00,208575.80922,1491,901.29,108187.76917
2025-01-21 00:00:00+00:00,117.93,134.43,113.88,118.84,1140.464,2025-01-21 23:59:59.999000+00:00,136130.08142,1277,651.055,78467.0756
2025-01-22 00:00:00+00:00,118.84,120.22,114.51,115.23,580.989,2025-01-22 23:59:59.999000+00:00,68039.42142,600,306.436,35971.78713
2025-01-23 00:00:00+00:00,115.21,117.09,111.42,116.57,858.338,2025-01-23 23:59:59.999000+00:00,98168.73337,951,422.559,48266.69622
2025-01-24 00:00:00+00:00,116.62,122.95,113.01,118.79,919.097,2025-01-24 23:59:59.999000+00:00,109228.50657,868,386.482,46005.57653
2025-01-25 00:00:00+00:00,118.84,129.23,118.15,123.95,1223.606,2025-01-25 23:59:59.999000+00:00,153164.30153,977,638.966,80502.83206
2025-01-26 00:00:00+00:00,123.97,125.0,117.09,117.09,778.252,2025-01-26 23:59:59.999000+00:00,94740.37757,587,375.239,45914.40524
2025-01-27 00:00:00+00:00,117.12,117.79,106.36,114.84,2140.142,2025-01-27 23:59:59.999000+00:00,241167.69281,1210,753.378,85786.39217
2025-01-28 00:00:00+00:00,115.03,116.85,109.2,109.71,935.862,2025-01-28 23:59:59.999000+00:00,105945.50289,580,277.743,31683.7502
2025-01-29 00:00:00+00:00,110.37,119.19,109.55,115.58,1416.81,2025-01-29 23:59:59.999000+00:00,162277.69195,844,1001.696,115295.96724
2025-01-30 00:00:00+00:00,116.25,133.9,114.24,129.73,2122.128,2025-01-30 23:59:59.999000+00:00,267967.52448,1224,1846.805,232801.93929
2025-01-31 00:00:00+00:00,129.25,135.03,125.33,128.39,1125.476,2025-01-31 23:59:59.999000+00:00,145666.6257,861,752.801,97833.80307
2025-02-01 00:00:00+00:00,127.46,131.02,117.79,118.14,1262.846,2025-02-01 23:59:59.999000+00:00,156308.2893,817,527.455,65080.55933
2025-02-02 00:00:00+00:00,117.95,121.0,104.37,109.31,2123.2,2025-02-02 23:59:59.999000+00:00,239156.62126,1296,472.765,53175.10824
2025-02-03 00:00:00+00:00,109.38,109.38,80.17,106.48,2118.567,2025-02-03 23:59:59.999000+00:00,208574.16391,1771,695.384,70157.76295
2025-02-04 00:00:00+00:00,107.58,108.64,98.63,101.23,1051.533,2025-02-04 23:59:59.999000+00:00,109602.41059,843,384.222,39586.6137
2025-02-05 00:00:00+00:00,101.22,109.26,98.71,102.51,1110.009,2025-02-05 23:59:59.999000+00:00,116126.25156,608,654.003,68756.8196
2025-02-06 00:00:00+00:00,103.83,109.39,99.66,101.83,1375.287,2025-02-06 23:59:59.999000+00:00,142308.62522,800,486.457,50647.33106
2025-02-07 00:00:00+00:00,101.82,108.0,98.25,103.35,1141.173,2025-02-07 23:59:59.999000+00:00,118160.73566,687,444.762,46211.0876
2025-02-08 00:00:00+00:00,103.21,105.07,101.81,104.57,1322.769,2025-02-08 23:59:59.999000+00:00,137434.76491,544,788.715,81935.91315
2025-02-09 00:00:00+00:00,104.75,109.0,102.44,107.28,668.034,2025-02-09 23:59:59.999000+00:00,70849.29069,531,448.392,47647.03237
2025-02-10 00:00:00+00:00,107.27,122.26,107.27,120.07,2824.222,2025-02-10 23:59:59.999000+00:00,328299.17545,1161,1644.246,192369.5569
2025-02-11 00:00:00+00:00,120.11,131.99,117.91,118.7,3732.482,2025-02-11 23:59:59.999000+00:00,463388.04164,1317,2570.409,319698.50156
2025-02-12 00:00:00+00:00,118.6,126.23,111.35,121.86,2457.402,2025-02-12 23:59:59.999000+00:00,287976.80671,1007,1237.589,144783.2701
2025-02-13 00:00:00+00:00,121.87,128.97,118.9,126.39,1342.703,2025-02-13 23:59:59.999000+00:00,167606.02279,1046,871.1,109024.174
2025-02-14 00:00:00+00:00,126.92,133.46,124.36,124.95,1204.322,2025-02-14 23:59:59.999000+00:00,155296.6731,963,711.026,92442.06448
2025-02-15 00:00:00+00:00,125.12,134.86,124.3,133.88,1024.391,2025-02-15 23:59:59.999000+00:00,134270.10267,826,662.64,87014.81108
2025-02-16 00:00:00+00:00,133.48,137.3,125.17,125.7,1706.475,2025-02-16 23:59:59.999000+00:00,224300.03314,866,650.976,85968.73076
2025-02-17 00:00:00+00:00,125.28,128.55,120.27,122.42,1812.055,2025-02-17 23:59:59.999000+00:00,224511.24293,853,858.747,106287.82156
2025-02-18 00:00:00+00:00,122.01,129.72,120.0,129.31,1641.451,2025-02-18 23:59:59.999000+00:00,205493.13378,693,994.888,125042.54495
2025-02-19 00:00:00+00:00,129.76,139.8,129.64,135.1,2291.359,2025-02-19 23:59:59.999000+00:00,309774.48506,1135,1213.809,163762.20177
2025-02-20 00:00:00+00:00,134.6,134.84,125.82,130.56,961.225,2025-02-20 23:59:59.999000+00:00,125135.39276,704,355.771,46447.81307
2025-02-21 00:00:00+00:00,130.56,139.8,123.64,128.58,1575.934,2025-02-21 23:59:59.999000+00:00,209067.8464,1281,739.698,98312.83691
2025-02-22 00:00:00+00:00,127.91,131.12,125.7,126.15,396.864,2025-02-22 23:59:59.999000+00:00,50537.51835,252,96.192,12318.48936
2025-02-23 00:00:00+00:00,125.79,130.29,125.5,129.56,485.222,2025-02-23 23:59:59.999000+00:00,62018.01283,344,287.215,36795.4342
2025-02-24 00:00:00+00:00,129.99,130.21,112.38,114.5,1827.783,2025-02-24 23:59:59.999000+00:00,221012.01159,764,870.035,105985.21205
2025-02-25 00:00:00+00:00,115.18,117.04,106.35,114.59,1195.613,2025-02-25 23:59:59.999000+00:00,134016.53489,766,473.278,53202.38984
2025-02-26 00:00:00+00:00,114.52,128.62,114.07,124.7,2398.574,2025-02-26 23:59:59.999000+00:00,296494.20611,907,1588.585,197095.755
2025-02-27 00:00:00+00:00,124.54,131.72,121.94,126.49,1146.29,2025-02-27 23:59:59.999000+00:00,145715.82423,733,686.897,87835.92281
2025-02-28 00:00:00+00:00,126.91,129.3,114.35,128.11,1375.493,2025-02-28 23:59:59.999000+00:00,167744.84542,1146,689.759,85248.32035
