Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2025-04-01 17:00:00+00:00,2.4626,2.4626,2.45,2.4555,109.0,2025-04-01 17:59:59.999000+00:00,267.79201,8,0.0,0.0
2025-04-01 18:00:00+00:00,2.4554,2.4556,2.4193,2.4193,561.5,2025-04-01 18:59:59.999000+00:00,1370.63666,17,371.8,906.77846
2025-04-01 19:00:00+00:00,2.4188,2.4188,2.4133,2.4133,34.0,2025-04-01 19:59:59.999000+00:00,82.18333,4,9.2,22.24008
2025-04-01 20:00:00+00:00,2.4109,2.42,2.4044,2.42,257.6,2025-04-01 20:59:59.999000+00:00,622.86688,7,238.6,577.1582
2025-04-01 21:00:00+00:00,2.4273,2.44,2.4273,2.44,47.9,2025-04-01 21:59:59.999000+00:00,116.65224,3,0.8,1.94184
2025-04-01 22:00:00+00:00,2.4317,2.4396,2.4285,2.4287,911.3,2025-04-01 22:59:59.999000+00:00,2221.56598,9,898.3,2189.94748
2025-04-01 23:00:00+00:00,2.4037,2.4171,2.3969,2.4063,115.3,2025-04-01 23:59:59.999000+00:00,277.22213,9,36.9,89.01036
2025-04-02 00:00:00+00:00,2.3969,2.397,2.3853,2.3853,65.7,2025-04-02 00:59:59.999000+00:00,157.29458,5,42.1,100.90043
2025-04-02 01:00:00+00:00,2.378,2.3851,2.3674,2.3674,409.8,2025-04-02 01:59:59.999000+00:00,976.74059,11,357.1,851.62557
2025-04-02 02:00:00+00:00,2.3674,2.3674,2.3542,2.3542,790.2,2025-04-02 02:59:59.999000+00:00,1868.51167,17,0.8,1.88704
2025-04-02 03:00:00+00:00,2.3838,2.3839,2.362,2.3621,66.4,2025-04-02 03:59:59.999000+00:00,157.50616,5,24.0,57.02664
2025-04-02 04:00:00+00:00,2.3566,2.3567,2.3476,2.3476,21.6,2025-04-02 04:59:59.999000+00:00,50.80408,5,5.4,12.72564
2025-04-02 05:00:00+00:00,2.3476,2.3476,2.2997,2.3167,8882.4,2025-04-02 05:59:59.999000+00:00,20494.44071,44,5034.7,11601.79936
2025-04-02 06:00:00+00:00,2.3177,2.3294,2.3141,2.3294,353.0,2025-04-02 06:59:59.999000+00:00,817.83767,6,353.0,817.83767
2025-04-02 07:00:00+00:00,2.3213,2.359,2.3212,2.359,465.6,2025-04-02 07:59:59.999000+00:00,1084.49086,10,464.3,1081.446
2025-04-02 08:00:00+00:00,2.3614,2.3898,2.3498,2.3898,3974.6,2025-04-02 08:59:59.999000+00:00,9344.67617,15,3974.6,9344.67617
2025-04-02 09:00:00+00:00,2.3947,2.4545,2.3947,2.4545,555.6,2025-04-02 09:59:59.999000+00:00,1350.96358,31,148.5,360.80967
2025-04-02 10:00:00+00:00,2.4582,2.4976,2.4479,2.458,515.4,2025-04-02 10:59:59.999000+00:00,1273.94064,29,315.2,781.64315
